CODE,TITLE
7219,ГОСТОМЛЯ                              
4729,ОСТ. ПУНКТ 67 КМ                      
9792,ОСТ. ПУНКТ 71 КМ                      
1275,КРОМЫ                                 
5508,ОСТ. ПУНКТ 108 КМ                     
8548,ОСТ. ПУНКТ 112 КМ                     
8463,ОСТ. ПУНКТ 115 КМ                     
4131,ПАНЬКОВО                              
4446,ОСТ. ПУНКТ 124 КМ                     
1382,ОСТ. ПУНКТ 134 КМ                     
5980,ЛУЖКИ-ОРЛОВСКИЕ                       
9362,КОНЫШЕВКА                             
4321,ОСТ. ПУНКТ 565 КМ                     
5623,МАРИЦА                                
5318,ОСТ. ПУНКТ 575 КМ                     
9739,ОСТ. ПУНКТ 563 КМ                     
4918,ШЕРЕКИНО                              
3911,ВСПОМОГАТЕЛЬНЫЙ ПОСТ 584 КМ           
8041,ОСТ. ПУНКТ 585 КМ                     
6617,ЛЬГОВ-СОРТИРОВОЧНЫЙ                   
7455,ЛЬГОВ-КИЕВСКИЙ                        
3632,ОСТ. ПУНКТ 3 КМ                       
1569,ОСТ. ПУНКТ 5 КМ                       
8984,СУГРОВ                                
8695,ОСТ. ПУНКТ 11 КМ                      
5373,БЛОКПОСТ 13 КМ                        
6099,ОСТ. ПУНКТ 401 КМ                     
3618,ПЛАТФОРМА 408 КМ                      
1259,ОСТ. ПУНКТ 404 КМ                     
4691,ПЛАТФОРМА 412 КМ                      
4667,ОСТ. ПУНКТ 25 КМ                      
5116,АНАСТАСЬЕВКА                          
4919,ГРОДНЕНСКИЙ                           
7818,ДЕРЕВЕНЬКИ                            
6947,ОСТ. ПУНКТ 46 КМ                      
8037,КУРЧАНИНОВО                           
6862,ОСТ. ПУНКТ 54 КМ                      
6460,СУДЖА                                 
6878,ОСТ. ПУНКТ 66 КМ                      
5208,ОСТ. ПУНКТ 69 КМ                      
2996,КОНОПЕЛЬКИ                            
3733,ОСТ. ПУНКТ 73 КМ                      
1111,СОСНОВЫЙ БОР                          
9686,ОСТ. ПУНКТ 82 КМ                      
6233,ПСЕЛ                                  
4561,ОСТ. ПУНКТ 89 КМ                      
9311,ОСТ. ПУНКТ 93 КМ                      
3874,ОСТ. ПУНКТ 94 КМ                      
2506,ПЛАТФОРМА 86 КМ                       
3983,ОСТ. ПУНКТ 99 КМ                      
5051,ОСТ. ПУНКТ 102 КМ                     
6784,ОСТ. ПУНКТ 104 КМ                     
1341,РУЛИТИН                               
6456,ОСТ. ПУНКТ 109 КМ                     
3862,ОСТ. ПУНКТ 112 КМ                     
3189,ПОДКОСЫЛЕВ                            
7967,ЮСУПОВО                               
4322,ТЕТКИНО (ЭКСП.)                       
7948,ГЛУШКОВО (ЭКСП.)                      
9260,ЛОКОТЬ (ЭКСП.)                        
7335,ОСТ. ПУНКТ 322 КМ                     
8307,ОСТ. ПУНКТ 329 КМ                     
2221,ГЛУШКОВО(САИПС)                       
3285,ГЛУШКОВО                              
7812,ОСТ. ПУНКТ 341 КМ                     
6201,ОСТ. ПУНКТ 344 КМ                     
6520,ГАПОНОВО                              
3387,ОСТ. ПУНКТ 351 КМ                     
9793,ГЛУШКОВО САИПС                        
6259,КОРЕНЕВО                              
3151,ОСТ. ПУНКТ 9 КМ                       
9606,ОСТ. ПУНКТ 12 КМ                      
8126,ОСТ. ПУНКТ 358 КМ                     
6025,РАЗЪЕЗД 361 КМ                        
4136,ОСТ. ПУНКТ 367 КМ                     
9493,ОСТ. ПУНКТ 371 КМ                     
9175,ОСТ. ПУНКТ 374 КМ                     
4676,СЕЙМСКАЯ                              
6704,РЫЛЬСК                                
3415,ОСТ. ПУНКТ 387 КМ                     
1988,АРТАКОВО                              
9902,ОСТ. ПУНКТ 378 КМ                     
6339,КОЛОНТАЕВКА                           
9249,БЛОХИНО                               
5111,ЛУКАШЕВКА                             
6490,КУРЧАТОВ                              
7507,ОСТ. ПУНКТ 428 КМ                     
4197,ПОСТ-ДИЧНЯ                            
9907,ПЛАТФОРМА 439 КМ                      
4482,ДЬЯКОНОВО                             
4703,РАЗЪЕЗД 454 КМ                        
1022,ОСТ. ПУНКТ 457 КМ                     
8274,РЫШКОВО                               
3224,ОСТ. ПУНКТ 465 КМ                     
4697,ВСПОМОГАТЕЛЬНЫЙ ПОСТ 470 КМ           
8193,ПЛАТФОРМА 472 КМ                      
1045,КУРСК САИПС                           
5649,КУРСК                                 
2288,ПОСТ 530 КМ                           
8694,ОСТ. ПУНКТ 4 КМ                       
6073,НОЗДРАЧЕВО                            
7247,ПЛАТФОРМА 18 КМ                       
5713,ОСТ. ПУНКТ 14 КМ                      
7189,ОТРЕШКОВО                             
5481,ПЛАТФОРМА 29 КМ                       
9218,МЕЛЕХИНО                              
2159,ОХОЧЕВКА                              
5384,РАЗЪЕЗД 53 КМ                         
4360,ОСТ. ПУНКТ 12 КМ                      
8195,ТЕРЕБУЖ                               
4126,КОСОРЖА                               
2391,ОСТ. ПУНКТ 42 КМ                      
7155,ОСТ. ПУНКТ 50 КМ                      
3478,НЕТРУБЕЖ                              
8294,КОЛПНЫ                                
4571,ЩИГРЫ                                 
8244,УДОБРИТЕЛЬНАЯ                         
9014,ГОЛОВИНКА                             
2969,ЧЕРЕМИСИНОВО                          
6091,РАСХОВЕЦ                              
1454,ОСТ. ПУНКТ 102 КМ                     
6127,ОСТ. ПУНКТ 91 КМ                      
8359,МАРМЫЖИ                               
9563,КШЕНЬ                                 
8376,НИЖНЕГРАЙВОРОНКА                      
1513,ОСТ. ПУНКТ 146 КМ                     
5329,ЛАЧИНОВО                              
1742,ТЕТКИНО САИПС                         
9151,НЕОНИЛОВКА                            
2783,КРУПЕЦ                                
6564,ПЛЕХАНОВО                             
2621,ТУЛА-ЛИХВИНСКАЯ                       
6996,РВЫ (УЗК)                             
1856,ТРУФАНОВО (УЗК)                       
5925,ТУЛА I-КУРСКАЯ                        
1465,ПЛАТФОРМА 191 КМ                      
6839,ТУЛА II-КУРСКАЯ                       
9171,КОСАЯ ГОРА                            
